"Gene.Symbols","Gene.Name","Gene","AR","AD","XL","IS"
"KHDRBS1, SAM68","KH domain-containing, RNA-binding, signal transduction-associated protein 1","KHDRBS1",,,,
"KPNA6","Karyopherin alpha-6","KPNA6",,,,
"CCDC28B, MGC1203","Coiled-coil comain-containing protein 28B","CCDC28B","Y","N","N","N"
"EIF3I, EIF3S2, TRIP1","Eukaryotic translation initiation factor 3, subunit I","EIF3I",,,,
"LCK, IMD22","Lymphocyte-specific protein tyrosine kinase","LCK","Y","N","N","N"
"HDAC1, RPD3L1","Histone deacetylase-1","HDAC1",,,,
"MARCKSL1, MLP, MRP","MARCKS-like protein 1","MARCKSL1",,,,
"TSSK3, STK22C, STK22D","Testis-specific serine/threonine kinase 3","TSSK3",,,,
"ZBTB8OS, ARCH","Zinc finger- and BTB domain-containing protein 8, opposite strand","ZBTB8OS",,,,
"SYNC1","Syncoilin 1","SYNC",,,,
"YARS, CMTDIC, TYRRS, YTS, YRS","Tyrosyl-tRNA synthetase","YARS","N","Y","N","N"
"S100PBP, S100PBPR","S100P-binding protein","S100PBP",,,,
"FNDC5, FRCP2","Fibronectin type III domain-containing protein 5","FNDC5",,,,
"HPCA, DYT2","Hippocalcin, 23kD, Ca2+-binding protein","HPCA","Y","N","N","N"
"IBRDC3, NKLAM","IBR domain-containing protein 3","RNF19B",,,,
"AK2","Adenylate kinase-2, mitochondrial","AK2","Y","N","N","N"
"AZIN2, ODC1L, KIAA1945","Antizyme inhibitor 2","AZIN2",,,,
"TRIM62, DEAR1","Tripartite motif-containing protein 62","TRIM62",,,,
"ZSCAN20, ZNF31, KOX29","Zinc finger- and SCAN domain-containing protein 20","ZSCAN20",,,,
"CSMD2, KIAA1884","Cub and Sushi multiple domains 2","CSMD2",,,,
"CTRCT34, CATC3","Cataract 34, multiple types","","N","N","N","N"
"GBD3","Gallbladder disease 3","GBD3","N","N","N","N"
"MACST","Macrostomia","","N","N","N","N"
"GJB5, CX31.1","Gap junction protein, beta-5","GJB5",,,,
"GJB4, CX30.3","Gap junction protein, beta-4","GJB4","Y","Y","N","N"
"GJB3, CX31, DFNA2B","Gap junction protein, beta-3","GJB3","Y","Y","N","N"
"GJA4, CX37","Gap junction protein, alpha-4, 37kD (connexin 37)","GJA4",,,,
"ZMYM6, ZNF258","Zinc finger, MYM-type 6","ZMYM6",,,,
"SFPQ, PSF","Splicing factor, proline- and glutamine-rich","SFPQ",,,,
"ZMYM4, ZNF262, KIAA0425","Zinc finger, MYM-type 4","ZMYM4",,,,
"KIAA0319L, KIAA1837","KIAA0319-like","KIAA0319L",,,,
"NCDN, KIAA0607","Neurochondrin","NCDN",,,,
"TFAP2E","Transcription factor AP2-epsilon","TFAP2E",,,,
"PSMB2","Proteasome subunit, beta type, 2","PSMB2",,,,
"CLASPIN","Claspin, Xenopus, homolog of","CLSPN",,,,
"EIF2C4, AGO4, KIAA1567","Eukaryotic translation initiation factor 2C, 4 (argonaute 4)","AGO4",,,,
"AGO1, EIF2C1, GERP95, EIF2C","Argonaute 1, RISC catalytic component","AGO1",,,,
"EIF2C3, AGO3","Eukaryotic translation initiation factor 2C, subunit 3 (argonaute 3)","AGO3",,,,
"ADPRHL2, ARH3","ADP-ribosylhydrolase-like 2","ADPRHL2",,,,
"COL8A2, FECD1, PPCD2","Collagen VIII, alpha-2 polypeptide","COL8A2","N","Y","N","N"
"TRAPPC3, BET3","Trafficking protein particle complex, subunit 3","TRAPPC3",,,,
"THRAP3, TRAP150","Thyroid hormone receptor-associated protein 3","THRAP3",,,,
"STK40, SHIK","Serine/threonine protein kinase 40","STK40",,,,
"NOR1","Oxidored-nitro domain-containing protein 1","OSCP1",,,,
"MRPS15","Mitochondrial ribosomal protein S15","MRPS15",,,,
"CSF3R, GCSFR, SCN7","Colony-stimulating factor-3 receptor (granulocyte)","CSF3R","Y","N","N","N"
"GRIK3, GLUR7","Glutamate receptor, ionotropic, kainate 3","GRIK3",,,,
"ZC3H12A, MCPIP, MCPIP1","Zinc finger CCCH domain-containing protein 12A","ZC3H12A",,,,
"MEAF6, C1orf149, EAF6","MYST/ESA1-associated factor 6","MEAF6",,,,
"SNIP1, PMRED","SMAD nuclear interacting protein 1","SNIP1","Y","N","N","N"
"DNALI1, P28","Dynein, axonemal, light intermediate polypeptide 1","DNALI1",,,,
"GNL2, NGP1","Guanine nucleotide-binding protein-like 2","GNL2",,,,
"RSPO1, FLJ40906","Roof plate-specific spondin, mouse, homolog of, 1","RSPO1","N","N","N","N"
"C1orf109","Chromosome 1 openreading frame 109","C1orf109",,,,
"CDCA8","Cell division cycle-associated protein 8","CDCA8",,,,
"EPHA10","Ephrin receptor EphA10","EPHA10",,,,
"YRDC, IRIP","YRDC domain-containing protein","YRDC",,,,
"MTF1","Metal-regulatory transcription factor 1","MTF1",,,,
"INPP5B","Inositol polyphosphate-5-phosphatase, 75kD","INPP5B",,,,
"SF3A3, SF3A60, SAP61, PRP9","Splicing factor 3A, subunit 3","SF3A3",,,,
"FHL3, SLIM2","Four-and-a-half LIM domains-3","FHL3",,,,
"UTP11L, CGI94","UTP11-like protein","UTP11",,,,
"POU3F1","POU domain, class 3, transcription factor-1","POU3F1",,,,
"RRAGC, RAGC","RAS-related GTP-binding protein C","RRAGC",,,,
"MYCBP","MYC-binding protein","MYCBP",,,,
"GJA9, CX59","Gap junction protein, alpha-9","GJA9",,,,
"AKIRIN1","Akirin 1","AKIRIN1",,,,
"NDUFS5","NADH dehydrogenase (ubiquinone) Fe-S protein 5, 15kD","NDUFS5",,,,
"MACF1, ACF7, KIAA1251","Microtubule-actin cross-linking factor 1","MACF1",,,,
"PABPC4, PABP4, IPABP, APP1","Polyadenylate-binding protein, cytoplasmic, 4","PABPC4",,,,
"HEYL","Hariy/enhancer of split-related with YRPW motif-like protein","HEYL",,,,
"NT5C1A, CN1A, CNI, CN1","5'-nucleotidase, cytosolic, IA","NT5C1A",,,,
"PPIE, CYP33","Peptidyl-prolyl isomerase E","PPIE",,,,
"BMP8B, OP2","Bone morphogenetic protein-8b (osteogenic protein 2)","BMP8B",,,,
"OXCT2, FLJ0030","3-oxoacid CoA transferase 2","OXCT2",,,,
"MYCL, LMYC","Oncogene MYC, lung carcinoma-derived","MYCL",,,,
"MFSD2A, MCPH15","Major facilitator superfamily domain-containing protein 2A","MFSD2A","Y","N","N","N"
"PPT1, CLN1","Palmitoyl-protein thioesterase 1","PPT1","Y","N","N","N"
"RLF","Rearranged L-myc fusion sequence","RLF",,,,
"ZMPSTE24, FACE1, STE24, MADB","Zinc metalloproteinase STE24","ZMPSTE24","Y","N","N","N"
"COL9A2, EDM2, STL5","Collagen IX, alpha-2 polypeptide","COL9A2","Y","Y","N","N"
"SMAP2, SMAP1L","Small ADP-ribosylation factor GTPase-activating protein 2","SMAP2",,,,
"RIMS3, NIM3, KIAA0137","Protein regulating synaptic membrane exocytosis 3","RIMS3",,,,
"NFYC, CBFC","Nuclear transcription factor Y, gamma","NFYC",,,,
"MIR30C1","Micro RNA 30C-1","MIR30C1",,,,
"KCNQ4, DFNA2A","Potassium voltage-gated channel, KQT-like subfamily, member 4","KCNQ4","N","Y","N","N"
"CITED4","CBP/P300-interacting transactivator, with glu/asp-rich carboxy terminal domain, 4","CITED4",,,,
"CTPS1, CTPS, IMD24","Cytidine 5'-triphosphate synthetase 1","CTPS1","Y","N","N","N"
"SCMH1","Sex comb on midleg, Drosophila, homolog of, 1","SCMH1",,,,
"FOXO6","Forkhead box O6","FOXO6",,,,
"EDN2","Endothelin-2","EDN2",,,,
"HIVEP3, KRC","Human immunodeficiency virus type 1 enhancer-binding protein 3","HIVEP3",,,,
"GUCA2B, UGN","Guanylate cyclase activator 2B (uroguanylin)","GUCA2B",,,,
"GUCA2A, GUCA2","Guanylate cyclase activator 2A (guanylin 2, intestinal, heat-stable)","GUCA2A",,,,
"FOXJ3, KIAA1041","Forkhead box J3","FOXJ3",,,,
"PPCS","Phosphopantothenoylcysteine synthetase","PPCS",,,,
"PPIH","Peptidyl-prolyl isomerase H","PPIH",,,,
"YBX1, NSEP1, YB1, DBPB","Y box binding protein 1 (major histocompatibility complex, class II, Y box-binding protein I)","YBX1",,,,
"CLDN19, HOMG5","Claudin 19","CLDN19","Y","N","N","N"
"P3H1, LEPRE1, GROS1, OI8","Prolyl 3-hydroxylase 1","P3H1","Y","N","N","N"
"ERMAP, SC, RD","Erythroblast membrane-associated protein","ERMAP","N","N","N","N"
"HTLVR","Receptor for HTLV-1 and HTLV-2","SLC2A1",,,,
"SLC2A1, GLUT1, DYT18, PED, GLUT1DS, EIG12, DYT9, SDCHCN","Solute carrier family 2 (facilitated glucose transporter), member 1","SLC2A1","Y","Y","N","N"
"EBNA1BP2, EBP2","EBNA1-binding protein 2","EBNA1BP2",,,,
"WDR65","WD repeat-containing protein 65","CFAP57",,,,
"TIE, JTK14, TIE1","Tyrosine kinase with immunoglobulin and epidermal growth factor homology domains","TIE1",,,,
"MPL, TPOR, MPLV, THCYT2","Myeloproliferative leukemia virus, homolog of","MPL","Y","Y","N","N"
"CDC20","Cell division cycle 20, S. cerevisiae, homolog of","CDC20",,,,
"ELOVL1, SSC1","Elongation of very long chain fatty acids-like 1","ELOVL1",,,,
"MED8","Mediator complex subunit 8","MED8",,,,
"SZT2, KIAA0467, EIEE18","Seizure threshold 2, mouse, homolog of","SZT2","Y","N","N","N"
"PTPRF, LAR, BNAH2","Protein tyrosine phosphatase, receptor type, f polypeptide","PTPRF","Y","N","N","N"
"KDM4A, JMJD2A, JHDM3A, KIAA0677","Lysine-specific demethylase 4A","KDM4A",,,,
"PTOS1","Ptosis, congenital 1, autosomal dominant","PTOS1","N","Y","N","N"
"ST3GAL3, SIAT6, ST3GALII, MRT12, EIEE15","ST3 beta-galactoside alpha-2,3-sialyltransferase 3","ST3GAL3","Y","N","N","N"
"IPO13, IMP13, KIAA0724, RANBP13","Importin 13","IPO13",,,,
"DPH2, DPH2L2","DPH2, S. cerevisiae, homolog of","DPH2",,,,
"ATP6V0B, ATP6F","ATPase, H+ transporting, lysosomal 21kD, V0 subunit c''","ATP6V0B",,,,
"B4GALT2","Beta-1,4-galactosyltransferase 2","B4GALT2",,,,
"SLC6A9, GLYT1","Solute carrier family 6 (neurotransmitter transporter, glycine), member 9","SLC6A9",,,,
"ZNF393","Zinc finger protein-393","KLF17",,,,
"DNMAP1, DMAP1","DNMT1-associated protein 1","DMAP1",,,,
"PRNPIP, PINT1","Prion protein-interacting protein","ERI3",,,,
"RNF220","RING finger protein 220","RNF220",,,,
"KIF2C, KNSL6, MCAK","Kinesin family, member 2C","KIF2C",,,,
"RPS8","Ribosomal protein S8","RPS8",,,,
"BEST4, VMD2L2","Bestrophin 4","BEST4",,,,
"PLK3, CNK, PRK","Polo-like kinase 3","PLK3",,,,
"TCTEX1D4","TCTEX1 domain-containing 4","TCTEX1D4",,,,
"PTCH2","Patched, Drosophila, homolog of, 2","PTCH2","N","Y","N","N"
"EIF2B3","Eukaryotic translation initiation factor 2B, subunit 3","EIF2B3","Y","N","N","N"
"UROD","Uroporphyrinogen decarboxylase","UROD","N","Y","N","N"
"MUTYH, MYH","MutY, E. coli, homolog of","MUTYH","Y","N","N","N"
"TOE1","Target of EGR1","TOE1",,,,
"TESK2","Testis-specific protein kinase 2","TESK2",,,,
"MMACHC","MMACHC gene","MMACHC","Y","N","N","N"
"PAGA","Proliferation-associated gene A","PRDX1",,,,
"AKR1A1, ALR","Aldo-keto reductase family 1, member A1 (aldehyde reductase)","AKR1A1",,,,
"NASP","Nuclear autoantigenic sperm protein","NASP",,,,
"IPP","Intracisternal A particle-promoted polypeptide","IPP",,,,
"MAST2, MAST205, KIAA0807","Microtubule-associated serine/threonine kinase 2","MAST2",,,,
"PIK3R3","Phosphatidylinositol 3-kinase, regulatory, 3","PIK3R3",,,,
"TSPAN1, NET1","Tetraspanin 1","TSPAN1",,,,
"POMGNT1, MEB, MDDGA3, MDDGB3, MDDGC3","Protein 0-mannose beta-1,2-N-acetylglucosaminyltransferase","POMGNT1","Y","N","N","N"
"LURAP1, LRAP35A","Leucine-rich adaptor protein 1","LURAP1",,,,
"RAD54L, HR54, HRAD54","RAD54, S. cerevisiae, homolog-like","RAD54L","N","Y","N","N"
"BMND14","Bone mineral density quantitative trait locus 14","","N","N","N","N"
"FWS","Forsythe-Wakeling syndrome","","Y","N","N","N"
"OFC13","Orofacial cleft 13","","N","Y","N","N"
"SKINTL, SKINTP","SKINT1-like pseudogene","SKINT1L",,,,
"UQCRH","Ubiquinol-cytochrome c reductase hinge protein","UQCRH",,,,
"NSUN4","NPO2/SUN domain family, member 4","NSUN4",,,,
"FAAH","Fatty acid amide hydrolase","FAAH","N","N","N","N"
"DMBX1, OTX3","Diencephalon/mesencephalon homeobox 1","DMBX1",,,,
"KNCN, KINO, L5","Kinocilin","KNCN",,,,
"MKNK1, MNK1","Mitogen-activated protein kinase-interacting serine/threonine kinase 1","MKNK1",,,,
"CYP4B1","Cytochrome P450, subfamily IVB, polypeptide 1","CYP4B1",,,,
"CYP4A11","Cytochrome P450, subfamily IVA, polypeptide 11","CYP4A11",,,,
"CYP4X1, CYPIVX1","Cytochrome P450, family 4, subfamily X, polypeptide 1","CYP4X1",,,,
"CYP4A22","Cytochrome P450, family 4, subfamily A, polypeptide 22","CYP4A22",,,,
"MAP17","Membrane-associated protein 17","PDZK1IP1",,,,
"TAL1, TCL5, SCL","T-cell acute lymphocytic leukemia-1","TAL1","N","N","N","N"
"STIL, SIL, MCPH7","SCL/TAL1-interrupting locus","STIL","Y","N","N","N"
"CMPK1, CMPK, UMPK, UMK, CMK","Cytidine monophosphate (UMP-CMP) kinase 1, cytosolic","CMPK1",,,,
"FOXE3, FKHL12, ASMD","Forkhead box E3","FOXE3","Y","Y","N","N"
"FOXD2, FKHL17, FREAC9","Forkhead box D2","FOXD2",,,,
"TRABD2B, TIKI2","TRAB domain-containing protein 2B","TRABD2B",,,,
"SPATA6, SRF1, HASH","Spermatogenesis-associated protein 6","SPATA6",,,,
"AGBL4, CCP6","ATP/GTP-binding protein-like 4","AGBL4",,,,
"ELAVL4, HUD, PNEM","Embryonic lethal, abnormal vision, Drosophila, homolog of, like-4 (Hu antigen D)","ELAVL4","N","N","N","N"
"DEL1p32p31, C1DELp32p31","Chromosome 1p32-p31 deletion syndrome","","N","N","N","Y"
"PARK10, AAOPD","Parkinson disease 10","PARK10","N","N","N","N"
"SCA37","Spinocerebellar ataxia 37","SCA37","N","Y","N","N"
"STQTL23","Stature quantitative trait locus 23","","N","N","N","N"
"DMRTA2","Doublesex- and MAB3-related transcription factor A2","DMRTA2",,,,
"FAF1, HFAF1","Fas-associated factor 1","FAF1",,,,
"CDKN2C, INK4C","Cyclin-dependent kinase inhibitor 2C","CDKN2C",,,,
"RNF11","Ring finger protein 11","RNF11",,,,
"EPS15","Epidermal growth factor receptor pathway substrate-15","EPS15",,,,
"OSBPL9, ORP9","Oxysterol-binding protein-like protein 9","OSBPL9",,,,
"NRD1","Nardilysin (N-arginine dibasic convertase)","NRDC",,,,
"RAB3B","Brain antigen RAB3B","RAB3B",,,,
"TXNDC12, TLP19, ERP18","Thioredoxin domain-containing protein 12","TXNDC12",,,,
"ZFYVE9, MADHIP, SARA","Zinc finger, FYVE domain containing 9","ZFYVE9",,,,
"ORC1, ORC1L","Origin recognition complex, subunit 1, S. cerevisiae, homolog","ORC1","Y","N","N","N"
"PRPF38A, PRP38A","Precursor mRNA-processing factor 38, S. cerevisiae, homolog of, A","PRPF38A",,,,
"ZCCHC11, KIAA0191","Zinc finger CCHC domain-containing protein 11","ZCCHC11",,,,
"GPX7, NPGPX","Glutathione peroxidase 7","GPX7",,,,
"COA7, RESA1, SELRC1, C1orf163","Cytochrome C oxidase assembly factor","COA7",,,,
"SCP2","Sterol carrier protein-2","SCP2","N","N","N","N"
"PODN","Podocan","PODN",,,,
"CPT2, IIAE4","Carnitine palmitoyltransferase II","CPT2","Y","Y","N","N"
"MAGOH","Mago nashi, Drosophila, homolog of, proliferation-associated","MAGOH",,,,
"LRP8, APOER2, MCI1","Low density lipoprotein receptor-related protein 8 (Apolipoportein E receptor 2)","LRP8","N","N","N","N"
"DMRTB1","Doublesex- and MAB3-related transcription factor B1","DMRTB1",,,,
"GLIS1","Glis family zinc finger protein 1","GLIS1",,,,
"TMEM48, NDC1","Transmembrane protein 48","NDC1",,,,
"DIO1, TXDI1","Deiodinase, iodothyronine, type I","DIO1",,,,
"CDCP2","Cub domain-containing protein 2","CDCP2",,,,
"MRPL37","Mitochondrial ribosomal protein L37","MRPL37",,,,
"SSBP3","Single-stranded DNA-binding protein 3","SSBP3",,,,
"ACOT11, THEA, BFIT, BFIT1, BFIT2, KIAA0707","Acyl-CoA thioesterase 11","ACOT11",,,,
"TTC4","Tetratricopeptide repeat domain 4","TTC4",,,,
"PARS2","Prolyl-tRNA synthetase 2","PARS2",,,,
"C1orf177, LEM","Chromosome 1 open reading frame 177","LEXM",,,,
"DHCR24, KIAA0018","24-dehydrocholesterol reductase","DHCR24","Y","N","N","N"
"BSND","Barttin","BSND","Y","N","N","N"
"PCSK9, NARC1, HCHOLA3, FH3, LDLCQ1","Proprotein convertase, subtilisin/kexin-type, 9","PCSK9","N","N","N","N"
"USP24, KIAA1057","Ubiquitin-specific protease 24","USP24",,,,
"PRKAA2, AMPK","Protein kinase, AMP-activated, alpha-2 catalytic subunit","PRKAA2",,,,
"C8A","Complement component-8, alpha polypeptide","C8A","Y","N","N","N"
"C8B","Complement component-8, beta polypeptide","C8B","Y","N","N","N"
"DAB1","Disabled, Drosophila, homolog 1","DAB1",,,,
"TACSTD2, TROP2, M1S1","Tumor-associated calcium signal transducer 2","TACSTD2","Y","N","N","N"
"MYSM1, 2ADUB, KIAA1915","MYB-like, SWIRM, and MPN domains-containing protein 1","MYSM1",,,,
"JUN","Avian sarcoma virus 17 (v-jun) oncogene homolog","JUN",,,,
"FGGY, FLJ10986","FGGY carbohydrate kinase domain-containing protein","FGGY",,,,
"HOOK1, HK1","Hook, Drosophila, homolog of, 1","HOOK1",,,,
"CYP2J2","Cytochrome P450, subfamily IIJ (arachidonic acid epoxygenase), polypeptide 2","CYP2J2",,,,
"AIR","Acute insulin response","","N","N","N","N"
"ASRT4","Asthma-related traits, susceptibility to, 4","","N","N","N","N"
"AVSD1, AVCD","Atrioventricular septal defect, susceptibility to, 1","AVSD1","N","N","N","N"
"OFC14","Orofacial cleft 14","","Y","N","N","N"
"OPHLC, C1DUPp31.3, DUP1p31.3","Omphalocele due to duplication of 1p31.3","","N","Y","N","N"
"PAOD1","Peripheral arterial occlusive disease 1","","N","N","N","N"
"POROK5, DSAP3","Porokeratosis 5, disseminated superficial actinic","","N","N","N","N"
"NFIA","Nuclear factor I/A","NFIA",,,,
"TM2D1, BBP","TM2 domain-containing protein 1","TM2D1",,,,
"INADL, PATJ","INAD, Drosophila, homolog of","PATJ",,,,
"KANK4","KN motif- and ankyrin repeat domain-containing protein 4","KANK4",,,,
"USP1","Ubiquitin-specific protease 1","USP1",,,,
"DOCK7, KIAA1771, EIEE23","Dedicator of cytokinesis 7","DOCK7","Y","N","N","N"
"ANGPTL3, ANGPT5, FHBL2","Angiopoietin-like 3","ANGPTL3","Y","N","N","N"
"ATG4C, APG4C","Autophagy 4, S. cerevisiae, homolog of, C","ATG4C",,,,
"FOXD3, AIS1, VAMAS2","Forkhead box D3","FOXD3","N","N","N","N"
"ALG6, CDG1C","Alg6, S. cerevisiae, homolog of","ALG6","Y","N","N","N"
"ITGB3BP, NRIF3","Integrin, beta-3, binding protein of","ITGB3BP",,,,
"PGM1, GSD14, CDG1T","Phosphoglucomutase-1","PGM1","Y","N","N","N"
"NTRKR1, ROR1","Neurotrophic tyrosine kinase, receptor-related 1","ROR1",,,,
"RAVER2, KIAA1579","Raver2, mouse, homolog of","RAVER2",,,,
"JAK1","Janus kinase 1 (a protein-tyrosine kinase)","JAK1",,,,
"MIR101-1, MIRN101-1","Micro RNA 101-1","MIR101-1",,,,
"AK3","Adenylate kinase-3, mitochondrial","AK4",,,,
"DNAJC6, DJC6, KIAA0473, PARK19","DNAJ, E. coli, homolog of, subfamily C, member 6","DNAJC6","Y","N","N","N"
"LEPROT, OBRGRP","Leptin receptor overlapping transcript","LEPROT",,,,
"LEPR, OBR, LEPRD","Leptin receptor","LEPR","N","N","N","N"
"PDE4B, DPDE4","Phosphodiesterase-4B, cAMP-specific (dunce-like phosphodiesterase E4)","PDE4B",,,,
"SGIP1","SH3-domain GRB2-like (endophilin)-interacting protein 1","SGIP1",,,,
"INSL5","Insulin-like 5","INSL5",,,,
"MEIR1, KIAA1610","Mesoderm induction-early response protein 1","MIER1",,,,
"SLC35D1, UGTREL7, KIAA0260","Solute carrier family 35 (UDP-glucuronic acid/UDP-N-acetylgalactosamine dual transporter), member D1","SLC35D1","Y","N","N","N"
"IL23R, IBD17","Interleukin 23 receptor","IL23R","N","N","N","N"
"IL12RB2","Interleukin 12 receptor, beta-2","IL12RB2",,,,
"SERBP1, PAIRBP1","Serpine1 mRNA-binding protein 1","SERBP1",,,,
"DDIT1, GADD45","DNA damage-inducible transcript-1","GADD45A",,,,
"GNG12","Guanine nucleotide-binding protein, gamma 12","GNG12",,,,
"GNG12AS1","GNG12 antisense RNA 1","GNG12-AS1",,,,
"DIRAS3, ARHI","DIRAS family, GTP-binding RAS-like protein 3","DIRAS3",,,,
"WLS, GPR177, EVI","WNTless, Drosophila, homolog of","WLS",,,,
"RPE65, RP20, LCA2","Retinal pigment epithelium-specific protein, 65kD","RPE65","Y","N","N","N"
"DEPDC1","DEP domain-containing 1","DEPDC1",,,,
"PBC3","Biliary cirrhosis, primary, 3","","N","N","N","N"
"SPG29","Spastic paraplegia 29, autosomal dominant","SPG29","N","Y","N","N"
"LRRC7, DENSIN, KIAA1365","Leucine-rich repeat-containing protein 7","LRRC7",,,,
"PIN1L","Peptidyl-prolyl cis/trans isomerase, NIMA-interacting-like","PIN1P1",,,,
"SRSF11, SFRS11","Splicing factor, serine/arginine-rich, 11","SRSF11",,,,
"ANKRD13C","Ankyrin repeat domain-containing protein 13C","ANKRD13C",,,,
"HHLA3","Human endogenous retrovirus-H long terminal repeat-associating 3","HHLA3",,,,
"CTH","Cystathionine gamma-lyase","CTH","Y","N","N","N"
"PTGER3, EP3","Prostaglandin E receptor 3, EP3 subtype","PTGER3",,,,
"ZRANB2, ZNF265, ZIS","Zinc finger RANBP2-type domain-containing protein 2","ZRANB2",,,,
"NEGR1, KILON","Neuronal growth regulator 1","NEGR1",,,,
"FPGT, GFPP","Fucose-1-phosphate guanylyltransferase","FPGT",,,,
"TNNI3K, CCDD","TNNI3-interacting kinase","TNNI3K","N","Y","N","N"
"CRYZ","Crystallin, zeta (quinone reductase)","CRYZ",,,,
"TYW3","tRNA-wybutosine-synthesizing protein 3, S. cerevisiae, homolog of","TYW3",,,,
"LHX8","LIM homeobox 8","LHX8",,,,
"ACADM, MCAD","Acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain","ACADM","Y","N","N","N"
"RABGGTB","Rab geranylgeranyltransferase, beta subunit","RABGGTB",,,,
"MSH4","mutS, E. coli, homolog of, 4","MSH4",,,,
"ST6GALNAC3, SIAT7C","ST6 alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1, 3-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3","ST6GALNAC3",,,,
"ST6GALNAC5, SIAT7E","ST6 alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1, 3-N-acetylgalactosaminide alpha-2,6 sialyltransferase 5","ST6GALNAC5",,,,
"PIGK, GPI8","Phosphatidylinositol glycan, class K","PIGK",,,,
"AK5","Adenylate kinase 5","AK5",,,,
"USP33, VDU1","Ubiquitin-specific protease 33","USP33",,,,
"FAM73A, MIGA1","Miga, Drosophila, homolog of, 1","MIGA1",,,,
"NEXN, NELIN, CMD1CC, CMH20","Nexilin, rat, homolog of","NEXN","N","Y","N","N"
"FUBP1, FUBP, FBP","Far upstream element-binding protein 1","FUBP1",,,,
"DNAJB4, HLJ1","DNAJ/HSP40 homolog, subfamily B, member 4","DNAJB4",,,,
"PTGFR","Prostaglandin F receptor (FP)","PTGFR",,,,
"IFI44L","Interferon-induced protein 44-like","IFI44L",,,,
"IFI44, P44","Interferon-induced protein 44","IFI44",,,,
"ADGRL4, ETL, ELTD1","Adhesion G protein-coupled receptor L4","ADGRL4",,,,
"ADGRL2, LPHN2, LPHH1, CIRL2, CL2, KIAA0786","Adhesion G protein-coupled receptor L2","ADGRL2",,,,
"PRKACB","Protein kinase, cAMP-dependent, catalytic, beta","PRKACB",,,,
"DNASE2B, DLAD","Deoxyribonuxlease II beta","DNASE2B",,,,
"CMM4","Melanoma, cutaneous malignant, 4","","N","N","N","N"
"KAZA2","Kala-azar, susceptibility to, 2","","N","N","N","N"
"UOX","Urate oxidase, pseudogene","UOX","N","N","N","N"
"GNG5","Guanine nucleotide-binding protein (G protein), gamma 5","GNG5",,,,
"CTBS, CTB","Chitobiase, di-N-acetyl-","CTBS",,,,
"LPAR3, EDG7, LPA3","Lysophosphatidic acid receptor 3","LPAR3",,,,
"MCOLN2","Mucolipin 2","MCOLN2",,,,
"MCOLN3","Mucolipin 3","MCOLN3",,,,
"BCL10, IMD37","B-cell leukemia/lymphoma 10","BCL10","Y","N","N","N"
